video_id,title,duration_seconds,days_since_upload,views,likes,comments,channel_title,subscribers
oH-mVeF8H6I,Marvel Rivals vs Overwatch 2 Similarities Part 1 #marvelrivals #overwatch2 #marvel  #marvelrivalscc,45,497,42025,1043,96,Soradot,25000
5hchKifikBg,Necros Came Back After Marvel Rivals Died!,725,2,21976,683,228,NoobHunter,169000
oH-mVeF8H6I,Marvel Rivals vs Overwatch 2 Similarities Part 1 #marvelrivals #overwatch2 #marvel  #marvelrivalscc,45,497,42031,1043,96,Soradot,25000
3U-1TPOG3ns,An Overwatch Player's Guide to Marvel Rivals,936,365,54978,2677,252,Spilo,82000
fcsPxUnnP98,Why is Overwatch copying Marvel Rivals?,1069,49,10423,398,142,Apply,67900
To0pHZ1QlhQ,Why Overwatch 2 Ranked is Better than Marvel Rivals,1256,140,18754,699,232,FREEDO,746000
1EyR5SC54J4,Showing @NecrosOW why Overwatch is better than Marvel Rivals,19,136,485419,11990,159,kraandop,190000
H-4QD4ZxQ10,What's Going On With Hero Shooters?,1838,96,344332,17754,3567,Flats,900000
Wy1fj0n1VAU,MARVEL RIVALS CATCHING UP TO OVERWATCH IN 9 MONTHS?,17,59,105290,1980,92,ReplayNext,3240
XrHcl9hwvfg,IF I'M A DPS MAIN IN OVERWATCH... WHO SHOULD I PLAY IN MARVEL RIVALS?,60,371,2645081,127569,1202,SCYTH3,29500
0OsBykyMsA4,Marvel Rivals may have finished Overwatch ft Flats,21,341,1270830,80266,3331,The Gamer Update,63500
333bcKuFd7M,Overwatch 2 ta sofrendo contra Marvel Rivals (graças a deus),616,342,174793,21282,946,O Canal do Pcini,371000
nnvmSWTRqf0,Marvel Rivals VS Overwatch 2 Ultimate Voicelines! #shorts,53,166,54982,1078,58,KaySkay,16100
yequUflP-IQ,The Toxic CONSOLE Marvel Rivals Experience...,624,96,45280,1947,165,GS Raider,89200
hHDq9rbBB8I,SICK RIVALS | Marvel Rivals,2250,0,32302,1824,78,ThatPunchKid LIVE,324000
bgU5wAyp4WM,Marvel Rivals,226,494,3442509,128947,3608,videogamedunkey,7580000
CLPEmC-yGjk,Is Overwatch the MARVEL RIVALS Killer?,1045,185,38918,1956,331,chamz,44000
z69I8aRSNnA,Marvel Rivals Just Forced Overwatch To Be Better #shorts #meme,59,292,450932,67970,1071,ClassicMan D,1120000
9wpAFDNqHh4,Marvel Rivals COPIED Overwatch AGAIN! 🤭,38,497,1830139,89380,2578,Bogur Two,120000
Imv2FVh2qGQ,I Spectated A Bronze Overwatch Player Who Is Eternity In Marvel Rivals,1214,26,119403,5070,282,Flats,900000
5bgYABEL31w,overwatch player plays marvel rivals for the time #marvel #rivals #marvelrivals #overwatch2 #gaming,36,246,2478,28,5,hmungbean,282
jDsl8Q9BsHk,Every Marvel Rivals Quick Match Ever,16,328,27615113,930297,10798,CircleToonsHD,3640000
I20Y96Yj2rM,OverWatch 2 SURPASSES Marvel Rivals Player Base 😳😲?,26,94,24697,670,31,Big Unc Chaos,6080
JqWWEl_2cyw,Marvel Rivals Pro tries Overwatch #overwatch2 #overwatchclips,51,219,15736,388,24,OMINAE,310
WNmunBq80C8,Rivals Has Overwatch Actually Working #shorts #meme,60,295,871635,125401,2176,ClassicMan D,1120000
fog0-y79JnM,TANKING IN OVERWATCH 2 COMPARED TO MARVEL RIVALS,1189,64,5334,198,89,JaeJETT,1680
FRAOhL3-Xgg,Marvel Rivals VS Overwatch.,15,356,1490625,96234,870,Hew Moran,8110000
S6p123T0Fbc,Marvel Rivals Vs. Overwatch - A Brutally Honest Comparison,673,81,97777,2913,764,CR0W,4910
2iTJB8qaeqM,"Overwatch Players Try Their Marvel Rivals ""CLONE"" For The First Time",3011,293,244748,6183,481,Salty Phish,806000
iOBWdRz9Zl4,How Marvel Rivals Made the REAL Overwatch 2,733,279,1396360,71559,3323,CircleToonsHD,3640000
qZVVVT5S_uQ,Marvel Rivals vs Overwatch 2 | Direct Comparison,1059,323,56028,1556,369,Nick930,557000
CmwB_SmsEko,How Overwatch 2 Killed Marvel Rivals.,1068,225,93973,4001,889,BigCitrus,38700
fLZYfbMyvjA,Who to play in Marvel Rivals based on your Overwatch Main (DPS),466,389,354715,8769,590,MR Gilbee,13300
wW_-7jS7c2I,Overwatch 2 vs Marvel Rivals,1560,68,29440,1060,549,Samito,181000
dQPBAMmumq0,Overwatch VS Marvel Rivals 👀 Ultimate Voice Lines,43,282,1704199,65962,2408,nikimii,260000
8opBW8R4A0E,WHY ARE MARVEL RIVALS PLAYERS FIGHTING WITH OVERWATCH? 😭💀,22,99,355592,13587,764,Khyomaru,99100
w0l8RSXiWr4,Every Hero In Marvel Rivals And Their Overwatch Counterpart,350,485,50533,1097,152,Zenmeister,12800
qK38MSO4TQI,"Marvel Rivals Players Try Their Overwatch ""CLONE"" For The First Time",3376,209,134703,4281,431,Salty Phish,806000
29wisngcSQw,Marvel Rivals vs Overwatch 2: 6 Months Later Comparison,862,200,56860,1792,744,Samito,181000
QkyJC4iAFmQ,What’s REALLY Happening to Hero Shooters? Rivals vs Overwatch,978,21,20933,793,569,Stylosa,746000
rnjlNLGxPoA,Marvel Rivals Vs Overwatch 2  - SIMILAR HEROES & ABILITIES,313,354,177493,2266,431,FrameRate Elite,13600
WauLFQcFNHE,OVERWATCH 2's Answer to MARVEL RIVALS #shorts,60,294,3159191,271825,6724,jacobweeby,2100000
yEepN1zr-tY,The Perfect Hero Shooter: Marvel Rivals Vs Overwatch [Blender Animation],83,334,266158,21765,1099,DevilArtemis,1130000
hX6wpj0Zfo0,Marvel Rivals vs Overwatch 2 🤔,67,360,1708306,132167,2903,Garett,712000
kXUqP_WDQJU,I made Marvel Rivals In Overwatch...,318,270,139443,5626,373,Javofo,38500
CEdTtdBb0vs,Marvel Rivals VS Overwatch 😳 Ultimate Voice Lines,42,241,1587750,42418,1327,nikimii,260000
AVEFd2i0NwE,"Why Marvel Rivals is Loved, But Overwatch is Hated",796,322,170158,7180,621,MewZe,249000
BGO2-Vw5w3c,Marvel Rivals VS Overwatch 🎤 Ultimate Voice Lines,44,303,1822551,81555,3526,nikimii,260000
YXWg-gAXqic,Marvel Rivals COPIED Overwatch AGAIN! pt 2 🤭,27,491,397107,16473,528,Bogur Two,120000
npBrU1liMmA,Every Hero In Marvel Rivals And Their Overwatch Counterpart,669,137,3784,97,16,Zenmeister,12800
WUSbJQ9rd8E,Necros Can’t See the Overwatch vs Rivals Argument #marvelrivals,31,170,696765,10443,1040,Click Rivals,17300
cx9vwwfDSJM,Marvel Rivals Player Tries Overwatch For The First Time,1001,119,47722,1944,341,PixelBug,569
FryvNkVwEYM,MARVEL RIVALS vs OVERWATCH 2 #shorts,58,494,2389658,190956,3122,jacobweeby,2100000
7gJoGTzYNhs,OVERWATCH 2 vs MARVEL RIVALS: Which Hero Should You Play?,936,364,254507,6328,549,KarQ Marvel Rivals,53700
HhtPRYZE_rY,MARVEL RIVALS vs OVERWATCH #shorts,60,328,2505121,245241,3813,jacobweeby,2100000
twIaxSaFZG0,Marvel Rivals vs Overwatch 2 #shorts,61,571,2083836,138109,4175,jacobweeby,2100000
I3INBVPwTM4,MARVEL RIVALS SWEAT tries OVERWATCH 2,484,289,19055,992,121,I'mTokyyo,2620
ZaDiJ0vSEx0,IS MARVEL RIVALS BETTER THAN OVERWATCH?,895,480,398272,10908,531,Joe Bart Games,1280000
NBYh-stt3eg,The Overwatch vs Marvel Rivals War has just started...,105,71,83103,3157,655,Bogur Two,120000
eXuxrQL4lqE,BLIZZARD Reacting to MARVEL RIVALS #shorts,60,362,3704318,338480,5435,jacobweeby,2100000
ZOaux02HiV4,"Overwatch, Gaslighting, and Marvel Rivals | A Deep Dive",2146,291,270072,8277,1451,Testing Triangles,11300
X5pDUL046R0,Overwatch vs Marvel Rivals (Ultimate Voice Lines) #shorts,66,277,6798,171,41,LongChicken,199
vIdgc6Ia7Gc,This game MIGHT be better than overwatch #marvelrivals #psylocke,48,364,7457310,625715,5097,Mugenszns,85300
rWlVnPVYw4o,MARVEL RIVALS AND OVERWATCH 2 TIED FOR PLAYER COUNTS!,17,98,433566,8226,352,KaySkay,16100
N1lDXGjWHZM,ПЛАГИАТ В ГЕРОЙСКИХ ШУТЕРАХ | Сравнение Overwatch 2 v.s Marvel Rivals,1010,158,17738,731,266,NUSKULL,30500
